ID,journal,issue,authors,title,other reference notes,article reference,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,COMMENTS,Dropbox filenames (for multiple files or multiple citations)
2,Biostatistics,January 2005 6 (1),Kevin Dobbin and Richard Simon,Sample size determination in microarray experiments for class comparison and prognostic classification,Biostat (2005) 6(1): 27-38 doi:10.1093/biostatistics/kxh015,Kevin Dobbin and Richard Simon. Sample size determination in microarray experiments for class comparison and prognostic classification. Biostatistics. January 2005 6 (1),y,1,52
3,Biostatistics,January 2005 6 (1),"Rickey E. Carter, Stuart R. Lipsitz, and Barbara C. Tilley
","Quasi-likelihood estimation for relative risk regression models
","Biostat (2005) 6(1): 39-44 doi:10.1093/biostatistics/kxh016
","Rickey E. Carter, Stuart R. Lipsitz, and Barbara C. Tilley
. Quasi-likelihood estimation for relative risk regression models
. Biostatistics. January 2005 6 (1)",y,1,14
4,Biostatistics,January 2005 6 (1),"Xiangqin Cui, J. T. Gene Hwang, Jing Qiu, Natalie J. Blades, and Gary A. Churchill
",Improved statistical tests for differential gene expression by shrinking variance components estimates,Biostat (2005) 6(1): 59-75 doi:10.1093/biostatistics/kxh018,"Xiangqin Cui, J. T. Gene Hwang, Jing Qiu, Natalie J. Blades, and Gary A. Churchill
. Improved statistical tests for differential gene expression by shrinking variance components estimates. Biostatistics. January 2005 6 (1)",y,1,183
5,Biostatistics,January 2005 6 (1),"Sin-Ho Jung, Heejung Bang, and Stanley Young
",Sample size calculation for multiple testing in microarray data analysis,Biostat (2005) 6(1): 157-169 doi:10.1093/biostatistics/kxh026,"Sin-Ho Jung, Heejung Bang, and Stanley Young
. Sample size calculation for multiple testing in microarray data analysis. Biostatistics. January 2005 6 (1)",y,1,30
6,Biostatistics,January 2005 6 (1),Michael P. Fay,Random marginal agreement coefficients: rethinking the adjustment for chance when measuring agreement,Biostat (2005) 6(1): 171-180 doi:10.1093/biostatistics/kxh027,Michael P. Fay. Random marginal agreement coefficients: rethinking the adjustment for chance when measuring agreement. Biostatistics. January 2005 6 (1),y,1,13
7,Biostatistics,April 2005 6 (2),Ina Hoeschele and Hua Li,A note on joint versus gene-specific mixed model analysis of microarray gene expression data,Biostat (2005) 6(2): 183-186 doi:10.1093/biostatistics/kxi001,Ina Hoeschele and Hua Li. A note on joint versus gene-specific mixed model analysis of microarray gene expression data. Biostatistics. April 2005 6 (2),y,1,4
8,Biostatistics,April 2005 6 (2),Binbing Yu and Joseph L. Gastwirth,Sensitivity analysis for trend tests: application to the risk of radiation exposure,"Biostat (2005) 6(2): 201-209 doi:10.1093/biostatistics/kxi003

",Binbing Yu and Joseph L. Gastwirth. Sensitivity analysis for trend tests: application to the risk of radiation exposure. Biostatistics. April 2005 6 (2),y,1,2
9,Biostatistics,April 2005 6 (2),"Brenda F. Kurland and Patrick J. Heagerty

",Directly parameterized regression conditioning on being alive: analysis of longitudinal data truncated by deaths,"Biostat (2005) 6(2): 241-258 doi:10.1093/biostatistics/kxi006
","Brenda F. Kurland and Patrick J. Heagerty

. Directly parameterized regression conditioning on being alive: analysis of longitudinal data truncated by deaths. Biostatistics. April 2005 6 (2)",y,1,17
10,Biostatistics,April 2005 6 (2),"Sonia Hernández, David O. Siegmund, and Mathisca de Gunst",On the power for linkage detection using a test based on scan statistics,"Biostat (2005) 6(2): 259-269 doi:10.1093/biostatistics/kxi007
","Sonia Hernández, David O. Siegmund, and Mathisca de Gunst. On the power for linkage detection using a test based on scan statistics. Biostatistics. April 2005 6 (2)",y,1,1
11,Biostatistics,April 2005 6 (2),Ola Hössjer,Conditional likelihood score functions for mixed models in linkage analysis,"Biostat (2005) 6(2): 313-332 doi:10.1093/biostatistics/kxi012
",Ola Hössjer. Conditional likelihood score functions for mixed models in linkage analysis. Biostatistics. April 2005 6 (2),y,1,7
